Marca,Modelo,Año,Color,Combustible,Puertas,Caja,Motor,Carrocería,Kilómetros,Precio,Moneda,Año_zscore
Honda,Civic,2017,Gris,Nafta,3,Automática,1.5,Hatchback,112000,6299000,pesos,0.19825355703188235
Volkswagen,Golf,2016,Plateado,Nafta,5,Automática,1.4,Hatchback,126000,16000,dólares,-0.07184665690803997
Renault,Sandero,2018,Negro,Nafta,5,Manual,1.6,Hatchback,44000,2700000,pesos,0.4683537709718047
Fiat,Uno,2016,Blanco,Nafta,5,Manual,1.4,Hatchback,87000,1975000,pesos,-0.07184665690803997
Peugeot,408,2016,Gris,Diésel,4,Manual,1.6,Sedán,114000,3650000,pesos,-0.07184665690803997
Renault,Sandero,2014,Rojo,Nafta,5,Manual,1.6,Hatchback,107000,1890000,pesos,-0.6120470847878846
Volkswagen,Amarok,2016,Negro,Diésel,4,Automática,2.0,Pick-Up,128900,6500000,pesos,-0.07184665690803997
Volkswagen,Polo,2019,Gris,Nafta,5,Automática,1.6,Hatchback,33444,5200000,pesos,0.7384539849117271
Citroën,Jumper,2014,Blanco,Diésel,4,Manual,2.3,Furgón,139000,4689900,pesos,-0.6120470847878846
BMW,Serie M,2017,Gris,Nafta,2,Automática,3.0,Coupé,11000,115700,dólares,0.19825355703188235
Renault,Logan,2018,Dorado,Nafta,4,Manual,1.6,Sedán,42000,3000000,pesos,0.4683537709718047
Fiat,Palio,2017,Gris,Nafta,5,Manual,1.4,Hatchback,37000,2700500,pesos,0.19825355703188235
Ford,Focus II,2009,Gris,Nafta,4,Manual,2.0,Sedán,160000,2000500,pesos,-1.9625481544874963
Renault,Clio,2014,Gris,Nafta,5,Manual,1.2,Hatchback,88000,2000500,pesos,-0.6120470847878846
Peugeot,207,2012,Gris,Diésel,5,Manual,1.4,Hatchback,110000,2000500,pesos,-1.1522475126677294
Chevrolet,Cruze II,2018,Plateado,Nafta,4,Manual,1.4,Sedán,63000,4429800,pesos,0.4683537709718047
Volkswagen,Up!,2014,Plateado,Nafta,3,Manual,1.0,Hatchback,88000,2450500,pesos,-0.6120470847878846
Volkswagen,Amarok,2015,Gris,Diésel,4,Manual,2.0,Pick-Up,138468,5849000,pesos,-0.3419468708479623
Chevrolet,Aveo,2011,Blanco,Nafta,4,Manual,1.6,Sedán,153000,1650000,pesos,-1.4223477266076516
Volkswagen,Up!,2014,Plateado,Nafta,3,Manual,1.0,Hatchback,95000,2450500,pesos,-0.6120470847878846
Renault,Captur,2021,Plateado,Nafta,5,Manual,2.0,SUV,102000,5029000,pesos,1.2786544127915718
Volkswagen,Polo,2019,Gris,Nafta,5,Automática,1.6,Hatchback,33500,5200000,pesos,0.7384539849117271
Chevrolet,Celta,2012,Rojo,Nafta,3,Manual,1.4,Hatchback,85000,1850000,pesos,-1.1522475126677294
Volkswagen,Gol Trend,2017,Azul,Nafta,3,Manual,1.6,Hatchback,45000,2849900,pesos,0.19825355703188235
Volkswagen,Gol Trend,2017,Blanco,Nafta,5,Manual,1.6,Hatchback,39000,3489900,pesos,0.19825355703188235
Ford,Ecosport,2016,Blanco,Nafta,5,Manual,1.6,SUV,108000,3350000,pesos,-0.07184665690803997
Volkswagen,Passat,2017,Blanco,Nafta,4,Automática,2.0,Sedán,59000,8489900,pesos,0.19825355703188235
Volkswagen,Polo,2018,Azul,Nafta,5,Automática,1.6,Hatchback,79000,3889900,pesos,0.4683537709718047
Chevrolet,Prisma,2018,Plateado,Nafta,4,Automática,1.4,Sedán,38000,3650000,pesos,0.4683537709718047
Peugeot,208,2014,Gris,Nafta,5,Manual,1.5,Hatchback,79000,2589900,pesos,-0.6120470847878846
Peugeot,2008,2017,Gris,Nafta,5,Manual,1.6,SUV,68000,3899900,pesos,0.19825355703188235
Nissan,Versa,2019,Blanco,Nafta,4,Automática,1.6,Sedán,50000,3689900,pesos,0.7384539849117271
Volkswagen,Golf,2016,Gris,Nafta,5,Automática,1.4,Hatchback,115000,5100000,pesos,-0.07184665690803997
Jeep,Renegade,2018,Verde,Nafta,5,Automática,1.8,SUV,69000,5489900,pesos,0.4683537709718047
Ford,Focus III,2016,Gris,Nafta,5,Manual,2.0,Hatchback,56000,4190000,pesos,-0.07184665690803997
Ford,Ranger,2020,Gris,Diésel,4,Automática,3.2,Pick-Up,14000,8989900,pesos,1.0085541988516493
Ford,Ranger,2015,Blanco,Diésel,4,Automática,3.2,Pick-Up,169000,6489900,pesos,-0.3419468708479623
Ford,Mondeo,2018,Gris,Nafta,4,Automática,2.0,Sedán,60000,7289900,pesos,0.4683537709718047
Fiat,Fiorino,2016,Blanco,Nafta,3,Manual,1.4,Furgón,61000,2789900,pesos,-0.07184665690803997
Fiat,Qubo,2014,Rojo,Nafta/GNC,5,Manual,1.4,Monovolumen,118000,2489900,pesos,-0.6120470847878846
Audi,Q5,2013,Blanco,Nafta,5,Automática,2.0,SUV,153000,6700000,pesos,-0.882147298727807
Chevrolet,Cruze,2014,Gris,Nafta,4,Automática,1.8,Sedán,31000,3890000,pesos,-0.6120470847878846
Baic,X55,2019,Negro,Nafta,5,Manual,1.5,SUV,38800,5780000,pesos,0.7384539849117271
Toyota,Corolla,2016,Blanco,Nafta,4,Manual,1.8,Sedán,75000,4400000,pesos,-0.07184665690803997
Toyota,Hilux,2022,Blanco,Diésel,4,Automática,2.8,Pick-Up,1000,52900,dólares,1.548754626731494
Chevrolet,Classic,2014,Plateado,Nafta/GNC,4,Manual,1.4,Sedán,63000,2158000,pesos,-0.6120470847878846
Renault,Kangoo,2013,Plateado,Nafta,3,Manual,1.6,Furgón,88000,2200000,pesos,-0.882147298727807
Citroën,C4,2014,Blanco,Nafta,5,Manual,1.6,Hatchback,79000,2189900,pesos,-0.6120470847878846
Volkswagen,Polo,2017,Dorado,Nafta,4,Automática,1.6,Hatchback,45000,3689900,pesos,0.19825355703188235
Mercedes-Benz,Clase A,2013,Negro,Nafta,5,Manual,1.6,Hatchback,115000,17500,dólares,-0.882147298727807
Volkswagen,Polo,2017,Dorado,Nafta,5,Automática,1.6,Hatchback,45000,3689900,pesos,0.19825355703188235
Volkswagen,Vento,2016,Negro,Nafta/GNC,4,Automática,2.5,Sedán,172000,4690000,pesos,-0.07184665690803997
Dodge,Journey,2018,Negro,Nafta,5,Manual,3.6,SUV,59900,8990000,pesos,0.4683537709718047
Chevrolet,Tracker,2017,Gris,Nafta,5,Automática,1.8,SUV,41000,4890000,pesos,0.19825355703188235
Peugeot,Partner Patagónica,2015,Blanco,Nafta,4,Manual,1.6,Monovolumen,91000,3200000,pesos,-0.3419468708479623
Fiat,500,2012,Negro,Nafta,3,Manual,1.4,Hatchback,79000,2500000,pesos,-1.1522475126677294
Fiat,500,2013,Marrón,Nafta,3,Manual,1.4,Hatchback,81262,2950000,pesos,-0.882147298727807
Honda,HR-V,2016,Violeta,Nafta,5,Automática,1.8,SUV,60000,6290000,pesos,-0.07184665690803997
Renault,Sandero Stepway,2020,Blanco,Nafta,5,Automática,1.6,Hatchback,62850,3900000,pesos,1.0085541988516493
Hyundai,Santa Fe,2017,Gris,Nafta,5,Manual,2.4,SUV,90000,7880000,pesos,0.19825355703188235
Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5,Automática,1.4,SUV,48711,10900000,pesos,1.2786544127915718
Ford,Ka,2013,Gris,Nafta,3,Manual,1.0,Hatchback,70000,1750000,pesos,-0.882147298727807
Renault,Duster,2017,Blanco,Nafta,5,Manual,1.6,SUV,60000,4250000,pesos,0.19825355703188235
Peugeot,Partner,2016,Gris,Diésel,4,Manual,1.6,Furgón,74000,3520000,pesos,-0.07184665690803997
Volkswagen,Amarok,2019,Azul,Diésel,4,Automática,2.0,Pick-Up,69000,9450000,pesos,0.7384539849117271
Citroën,C-Elysée,2019,Azul,Diésel,4,Manual,1.6,Sedán,53000,3650000,pesos,0.7384539849117271
Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,60000,4779900,pesos,0.7384539849117271
Fiat,Argo,2019,Gris,Nafta,5,Manual,1.3,Hatchback,18000,3490000,pesos,0.7384539849117271
Nissan,Sentra,2014,Negro,Nafta,4,Automática,2.0,Sedán,96000,3200000,pesos,-0.6120470847878846
Fiat,Cronos,2019,Blanco,Nafta,4,Manual,1.8,Sedán,86000,3490000,pesos,0.7384539849117271
Peugeot,408,2013,Gris,Diésel,4,Manual,1.6,Sedán,89000,2689900,pesos,-0.882147298727807
Chevrolet,Spin,2016,Gris,Nafta/GNC,5,Manual,1.8,Monovolumen,98000,3489900,pesos,-0.07184665690803997
Nissan,Kicks,2018,Plateado,Nafta,5,Automática,1.6,Hatchback,59000,5389900,pesos,0.4683537709718047
Citroën,Aircross,2017,Gris,Nafta,5,Manual,1.5,Hatchback,61389,3348000,pesos,0.19825355703188235
Chevrolet,Cruze,2014,Gris,Nafta,4,Manual,1.8,Sedán,61389,3402000,pesos,-0.6120470847878846
Volkswagen,Suran Cross,2016,Gris,Nafta,5,Manual,1.6,Monovolumen,39000,3990000,pesos,-0.07184665690803997
Honda,CR-V,2010,Celeste,Nafta,5,Automática,2.4,SUV,138000,16500,dólares,-1.692447940547574
Volkswagen,Saveiro,2020,Blanco,Nafta,2,Manual,1.6,Pick-Up,35000,4589900,pesos,1.0085541988516493
Honda,Fit,2013,Gris,Nafta,5,Manual,1.5,Hatchback,110000,3539000,pesos,-0.882147298727807
Ford,Focus III,2017,Gris,Nafta,5,Manual,1.6,Hatchback,56100,3726000,pesos,0.19825355703188235
Ford,Fiesta Kinetic Design,2017,Celeste,Nafta,5,Manual,1.6,Hatchback,43000,3700000,pesos,0.19825355703188235
Fiat,Toro,2017,Rojo,Diésel,4,Automática,2.0,Pick-Up,118000,5900000,pesos,0.19825355703188235
Volkswagen,Gol Trend,2009,Plateado,Nafta,5,Manual,1.6,Hatchback,119000,1750000,pesos,-1.9625481544874963
BMW,X5,2000,Gris,Nafta,5,Manual,4.4,SUV,132000,16000,dólares,-4.393450079946797
Ford,Ecosport,2015,Plateado,Nafta,5,Manual,1.6,SUV,51834,3769200,pesos,-0.3419468708479623
Toyota,Corolla,2011,Gris,Nafta,4,Automática,1.8,Sedán,167000,2930000,pesos,-1.4223477266076516
Toyota,Hilux,2022,Negro,Diésel,4,Manual,2.8,Pick-Up,4000,60000,dólares,1.548754626731494
Chevrolet,Celta,2012,Rojo,Nafta,3,Manual,1.4,Hatchback,101000,1900000,pesos,-1.1522475126677294
BMW,Serie 4,2022,Negro,Nafta,2,Automática,2.0,Coupé,21000,95000,dólares,1.548754626731494
Chevrolet,Onix,2018,Gris,Nafta/GNC,5,Manual,1.4,Hatchback,62300,3100000,pesos,0.4683537709718047
Ford,Fiesta Kinetic Design,2017,Gris,Nafta,5,Manual,1.6,Hatchback,44607,3780000,pesos,0.19825355703188235
Peugeot,308,2012,Azul,Nafta,5,Manual,2.0,Hatchback,130000,2850000,pesos,-1.1522475126677294
Citroën,C3 Picasso,2012,Blanco,Nafta,5,Manual,1.6,Hatchback,112000,2500000,pesos,-1.1522475126677294
Fiat,Palio,2011,Gris,Nafta,5,Manual,1.6,Rural,190000,1900000,pesos,-1.4223477266076516
Toyota,SW4,2020,Gris,Diésel,5,Automática,2.8,SUV,71000,47700,dólares,1.0085541988516493
RAM,1500,2022,Rojo,Nafta,4,Automática,5.7,Pick-Up,18000,64900,dólares,1.548754626731494
Volkswagen,Taos,2022,Gris,Nafta,5,Automática,1.4,SUV,1111,7970000,pesos,1.548754626731494
Volkswagen,T-Cross,2019,Gris,Nafta,5,Automática,1.6,SUV,23000,6590000,pesos,0.7384539849117271
Ford,Focus III,2017,Azul,Nafta,4,Manual,2.0,Sedán,79000,4089900,pesos,0.19825355703188235
