Marca,Modelo,Año,Color,Combustible,Puertas,Caja,Motor,Carrocería,Kilómetros,Precio,Moneda,Año_zscore
Citroën,C4,2014,Blanco,Nafta,5,Automática,2.0,Hatchback,76000,2390000,pesos,-0.6120470847878846
Volkswagen,Golf,2018,Blanco,Nafta,5,Automática,2.0,Hatchback,15300,46990,dólares,0.4683537709718047
Chevrolet,Onix,2016,Plateado,Nafta,5,Manual,1.4,Hatchback,68000,2850000,pesos,-0.07184665690803997
Renault,Sandero Stepway,2018,Plateado,Nafta/GNC,5,Manual,1.6,Hatchback,52000,3190000,pesos,0.4683537709718047
Jeep,Grand Cherokee,2017,Gris,Nafta,5,Automática,6.4,SUV,35000,90000,dólares,0.19825355703188235
Toyota,Yaris,2019,Blanco,Nafta,4,Manual,1.5,Sedán,37000,4950000,pesos,0.7384539849117271
Citroën,C3 Picasso,2011,Negro,Nafta,5,Manual,1.6,Hatchback,114600,2300000,pesos,-1.4223477266076516
Volkswagen,Passat,2012,Gris,Nafta,4,Automática,2.0,Sedán,147000,15900,dólares,-1.1522475126677294
Ford,Ka,2018,Blanco,Nafta,5,Manual,1.5,Hatchback,58000,3098900,pesos,0.4683537709718047
Peugeot,408,2011,Negro,Nafta,4,Automática,2.0,Sedán,80000,2499700,pesos,-1.4223477266076516
Peugeot,208,2018,Gris,Nafta,5,Automática,1.6,Hatchback,33000,4149800,pesos,0.4683537709718047
Ford,Ecosport,2016,Negro,Nafta,5,Manual,1.6,SUV,80000,3998700,pesos,-0.07184665690803997
Ford,Fiesta Kinetic Design,2015,Azul,Nafta,5,Manual,1.6,Hatchback,55000,3249800,pesos,-0.3419468708479623
Citroën,C3,2013,Gris,Nafta,5,Manual,1.6,Hatchback,34000,2799800,pesos,-0.882147298727807
Volkswagen,Suran,2019,Gris,Nafta,5,Manual,1.6,Monovolumen,48000,3949800,pesos,0.7384539849117271
Nissan,March,2015,Rojo,Nafta,5,Manual,1.6,Hatchback,51000,2781000,pesos,-0.3419468708479623
Peugeot,208,2020,Gris,Nafta,5,Manual,1.6,Hatchback,11000,4449800,pesos,1.0085541988516493
Ford,Territory,2022,Negro,Nafta,5,Automática,1.5,SUV,1000,11290000,pesos,1.548754626731494
Toyota,Etios,2017,Blanco,Nafta,5,Manual,1.5,Hatchback,87000,3450000,pesos,0.19825355703188235
Nissan,March,2018,Gris,Nafta,5,Manual,1.6,Hatchback,67082,3000000,pesos,0.4683537709718047
Peugeot,3008,2013,Negro,Nafta,5,Manual,1.6,Monovolumen,135000,3190000,pesos,-0.882147298727807
Honda,CR-V,2017,Gris,Nafta,5,Automática,2.4,SUV,154451,7700000,pesos,0.19825355703188235
Chevrolet,Cruze,2014,Gris,Nafta,5,Manual,1.8,Hatchback,107000,2890000,pesos,-0.6120470847878846
Chevrolet,Tracker,2018,Gris,Nafta,5,Automática,1.8,SUV,52000,5250000,pesos,0.4683537709718047
Volkswagen,Amarok,2019,Gris,Diésel,4,Automática,3.0,Pick-Up,49000,46000,dólares,0.7384539849117271
Peugeot,2008,2017,Blanco,Nafta,5,Manual,1.6,SUV,75358,3960000,pesos,0.19825355703188235
Volkswagen,Amarok,2019,Gris,Diésel,4,Automática,3.0,Pick-Up,57500,44900,dólares,0.7384539849117271
Toyota,Etios,2015,Gris,Nafta,5,Manual,1.5,Hatchback,84000,2890000,pesos,-0.3419468708479623
